ligand_id,docked_conformation_count,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_median_score_kcal_mol,ensemble_score_std_kcal_mol,enopt_style_weighted_score_kcal_mol,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL3309388,5,-13.11,-11.91,-11.77,1.0106186224288565,-11.922100139979156,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)Cc3ccc(-c4ccccc4)cc3)c2)n1,ChEMBL37_chemreps,518.621,39,4.894,3,7,104.96
CHEMBL19272,5,-12.23,-11.914000000000001,-11.95,0.3645270908999767,-11.918717659990094,O=C([O-])c1ccccc1Cn1nnnc1-c1cccc(OCc2ccc3ccccc3n2)c1,ChEMBL37_chemreps,436.451,33,2.879,0,8,105.85
CHEMBL21432,5,-13.02,-11.9,-12.12,1.1631208019806027,-11.91729800995566,Cc1ccc(S(=O)(=O)OCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ChEMBL37_chemreps,392.432,28,3.676,0,5,77.51
CHEMBL6932,5,-12.6,-11.906,-12.13,0.9886253081931496,-11.916875642269142,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C2(C)CC2Cn2oc(=O)[nH]c2=O)c1,ChEMBL37_chemreps,501.461,36,4.669,1,7,103.26
CHEMBL19226,5,-13.13,-11.892,-12.16,1.2338030637018214,-11.906991975034664,O=S1(=O)c2ccccc2-c2ccccc2N1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1,ChEMBL37_chemreps,489.616,35,5.437,1,3,56.41
CHEMBL11793,5,-12.71,-11.895999999999999,-12.01,1.0124129592216808,-11.906363858962505,N#Cc1ccc(O)c(C(=O)/C=C/c2cccc(/C=C/c3ccc4ccccc4n3)c2)c1,ChEMBL37_chemreps,402.453,31,5.879,1,4,73.98
CHEMBL38480,5,-12.93,-11.895999999999999,-11.79,1.0995817386624784,-11.904286448412002,Cc1oc(-c2ccc3ccccc3c2)nc1CCOc1ccc(CC2OC(=O)NC2=O)cc1,ChEMBL37_chemreps,442.471,33,4.602,1,6,90.66
CHEMBL1210578,5,-13.31,-11.886000000000001,-11.57,1.0259288474353376,-11.899451512725369,O=C(Cn1nc(C2CCC(F)(F)CC2)c2cnccc2c1=O)NC1Cc2ccccc2C1,ChEMBL37_chemreps,438.478,32,3.368,1,5,76.88
CHEMBL20466,5,-12.72,-11.892,-11.62,0.7038962991804976,-11.894709860737107,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc3ccccc23)c1,ChEMBL37_chemreps,373.46,28,3.604,2,6,89.23
CHEMBL3309384,5,-12.36,-11.886,-12.07,0.4339700450491946,-11.89189581691539,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)c3ccc4ccccc4n3)c2)n1,ChEMBL37_chemreps,479.544,36,3.846,3,8,117.85
CHEMBL15909,5,-12.81,-11.876000000000001,-12.23,0.9933176732546342,-11.890744042325917,CN1CCC2(CC1)COc1ccc(NC(=O)NCCN3CCC(c4c[nH]c5cc(F)ccc45)CC3)cc12,ChEMBL37_chemreps,505.638,37,4.664,3,4,72.63
CHEMBL18224,5,-12.54,-11.873999999999999,-11.82,0.5659328582084625,-11.880533869002699,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,ChEMBL37_chemreps,461.562,33,5.148,1,3,56.41
CHEMBL4543398,5,-13.08,-11.8608,-12.19,1.2554932098581812,-11.877155688630355,CC(C)c1cccc(-c2ccc3nnc(-c4ccc5c(c4)NC(=O)CO5)n3c2)c1,ChEMBL37_chemreps,384.439,29,4.518,1,5,68.52
CHEMBL3309474,5,-12.57,-11.8614,-12.29,1.0843222768162613,-11.875156014138822,Nc1nccc(Oc2ccc(-n3cc(C(=O)NCc4ccc(F)cc4)ccc3=O)cc2F)c1Cl,ChEMBL37_chemreps,482.874,34,4.469,2,6,99.24
CHEMBL42971,5,-13.36,-11.8586,-11.99,1.32815465966882,-11.872555932164502,Cc1nc(-c2ccc3ccccc3c2)oc1CCOc1ccc(CC2OC(=O)NC2=O)cc1,ChEMBL37_chemreps,442.471,33,4.602,1,6,90.66
CHEMBL42599,5,-12.96,-11.852,-12.0,1.0887469862185615,-11.868112229170915,Cn1nnnc1-c1cc(NC(=O)NCCCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2ccccc2)c1,ChEMBL37_chemreps,527.648,39,5.15,2,6,87.97
CHEMBL20837,5,-12.68,-11.8516,-12.12,1.0734676520510529,-11.866295669546863,COc1ccccc1N1CCN(C(=O)CCc2c(-c3ccccc3)[nH]c3ccc(C)cc23)CC1,ChEMBL37_chemreps,453.586,34,5.433,1,3,48.57
CHEMBL15174,5,-12.85,-11.861999999999998,-11.64,0.6684085576950672,-11.86182433000992,CC1Nc2ccccc2C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,ChEMBL37_chemreps,396.454,30,3.948,2,5,86.8
CHEMBL35842,5,-12.89,-11.854000000000001,-11.74,0.7533458701021731,-11.860210976128986,O=C(c1cccc(Cc2ccccc2)c1)c1ccc2cccnc2c1O,ChEMBL37_chemreps,339.394,26,4.762,1,3,50.19
CHEMBL16239,5,-13.09,-11.8336,-12.35,1.4106327658182334,-11.854893326854237,O=C(Nc1ccc2c(C(=O)c3ccccc3)c(O)n(O)c2c1)c1ccc2ccccc2c1,ChEMBL37_chemreps,422.44,32,5.221,3,5,91.56
CHEMBL11508,5,-12.52,-11.84,-12.25,1.025304832720494,-11.852490055619818,O=C(O)c1cccc(C(=O)/C=C/c2cccc(/C=C/c3ccc4ccccc4n3)c2)c1O,ChEMBL37_chemreps,421.452,32,5.705,2,4,87.49
CHEMBL19051,5,-13.16,-11.834,-11.54,1.166760472419254,-11.84979296748645,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(Cc2c[nH]c3ccc(F)cc23)CC1,ChEMBL37_chemreps,461.562,33,4.844,1,3,56.41
CHEMBL16337,5,-12.53,-11.842,-12.08,0.6784320157539736,-11.849255778629573,O=c1c2c(oc(O)c1[C@@H](c1cccc(NS(=O)(=O)c3cccc4cccnc34)c1)C1CC1)CCCCCC2,ChEMBL37_chemreps,530.646,38,5.895,2,6,109.5
CHEMBL4434821,5,-12.61,-11.84,-12.07,0.9029950165975449,-11.848157641050737,O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)cc(-n2cc(-c3cccc(O)c3)nn2)c1,ChEMBL37_chemreps,440.503,33,4.472,3,6,100.27
CHEMBL37717,5,-12.51,-11.831999999999999,-12.04,0.7656827019072591,-11.843506398242226,O=C1c2ccccc2C(=O)N1CCCCN1C2CCC1c1c([nH]c3ccccc13)C2,ChEMBL37_chemreps,399.494,30,4.306,1,3,56.41
CHEMBL18413,5,-12.13,-11.838,-11.9,0.2820815484926301,-11.840251219772757,c1cc(OCc2ccc3ccccc3n2)cc(OCc2ccccc2-c2nn[nH]n2)c1,ChEMBL37_chemreps,409.449,31,4.573,1,6,85.81
CHEMBL22908,5,-12.39,-11.835999999999999,-11.91,0.5860716679724419,-11.839591974340836,CC(=O)c1c(OCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)cc(C)nc1C,ChEMBL37_chemreps,399.454,30,4.327,1,6,93.65
CHEMBL18564,5,-12.04,-11.836,-11.89,0.21220273325289624,-11.83898736737638,c1cc(OCc2cccc(-c3nn[nH]n3)c2)cc(OCc2ccc3ccccc3n2)c1,ChEMBL37_chemreps,409.449,31,4.573,1,6,85.81
CHEMBL20754,5,-13.45,-11.812000000000001,-12.17,1.694674009949996,-11.835602266996304,O=C(Cn1c(C2CCNCC2)nc2cc(Cl)c(Cl)cc21)NNC(=O)Nc1ccc2ccccc2c1,ChEMBL37_chemreps,511.413,35,4.816,4,5,100.08
CHEMBL18833,5,-12.24,-11.829999999999998,-11.87,0.33309157899892927,-11.832429999789227,c1cc(COc2cccc(-c3nn[nH]n3)c2)cc(OCc2ccc3ccccc3n2)c1,ChEMBL37_chemreps,409.449,31,4.573,1,6,85.81
CHEMBL38476,5,-12.58,-11.816199999999998,-12.25,1.1506138361761513,-11.830602996771319,Cc1c(-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)nc2ccc(F)cc2c1C(=O)[O-],ChEMBL37_chemreps,424.373,31,5.399,0,3,53.02
CHEMBL18627,5,-12.37,-11.818000000000001,-12.16,0.9765602899974992,-11.829770024420347,CC(=O)[C@@H]1CN(Cc2ccc(-c3ccccc3S(N)(=O)=O)cc2)C[C@H]1c1cccc(C(=N)N)c1,ChEMBL37_chemreps,476.602,34,3.09,3,5,130.34
CHEMBL6819,5,-12.46,-11.822,-11.86,0.790613685689794,-11.829546622793572,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C2CC2Cn2oc(=O)[nH]c2=O)c1,ChEMBL37_chemreps,487.434,35,4.495,1,7,103.26
CHEMBL20299,5,-12.72,-11.8098,-12.32,1.0960498163860988,-11.82566701138403,Cc1cc(C(=O)Nc2ncc(-c3ccccc3S(N)(=O)=O)cn2)n(-c2ccc3cc(Cl)ccc3c2)n1,ChEMBL37_chemreps,518.986,36,4.344,2,7,132.86
CHEMBL18579,5,-12.66,-11.809999999999999,-12.22,1.0359295342830999,-11.8215173991144,O=C(O)c1ccccc1Cn1nnc(-c2ccc(CSc3ccc4ccccc4n3)cc2)n1,ChEMBL37_chemreps,453.527,33,4.927,1,7,93.79
CHEMBL11687,5,-12.4,-11.812,-12.25,0.8367616147983842,-11.821080493408553,O=C(O)c1ccccc1C(=O)/C=C/c1cccc(OCc2ccc3ccccc3n2)c1,ChEMBL37_chemreps,409.441,31,5.408,1,4,76.49
CHEMBL1076624,5,-12.68,-11.808000000000002,-12.24,1.059136440691189,-11.818357198751958,COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@H](C(=O)N3CCN(c4ccc(F)c(F)c4)CC3)C2)cn1,ChEMBL37_chemreps,526.672,38,4.634,0,5,48.91
CHEMBL38574,5,-13.3,-11.805000000000001,-11.79,1.2741271522104851,-11.817877927967672,Cc1sc(-c2ccc3ccccc3c2)nc1CCOc1ccc(CC2OC(=O)NC2=O)cc1,ChEMBL37_chemreps,458.539,33,5.071,1,6,77.52
CHEMBL11010,5,-12.27,-11.812,-11.79,0.4804893339086728,-11.817668739529626,O=C(O)COc1cccc2c1CCC(CC1C=NC(C(c3ccccc3)c3ccccc3)=N1)C2,ChEMBL37_chemreps,452.554,34,5.329,1,4,71.25
CHEMBL32187,5,-12.96,-11.8012,-12.08,1.1112637850663547,-11.816569832463388,CC(=O)N1CCC[C@@H]1c1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1,ChEMBL37_chemreps,487.556,36,4.878,0,5,83.3
CHEMBL35493,5,-13.06,-11.7888,-12.66,1.4985283447436017,-11.811375361649391,Cc1c[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O,ChEMBL37_chemreps,502.53,38,5.297,3,4,111.2
