ligand_id,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL27327,COc1cc(NC(=O)C(=O)N(C)c2ccccc2)ccc1-c1cnco1,ChEMBL37_chemreps,351.362,26,2.952,1,5,84.67
CHEMBL27328,COc1ccc(Cc2cc(C3CCN(C(=O)Cc4ccccc4)CC3)nc(N)n2)cc1,ChEMBL37_chemreps,416.525,31,3.607,1,5,81.34
CHEMBL27334,CC1(C)O[C@H]2[C@H](O)[C@@H](Cl)CO[C@@]2(COS(N)(=O)=O)O1,ChEMBL37_chemreps,317.747,19,-0.947,2,7,117.31
CHEMBL27416,Cc1cn(-c2ccc(C(=O)c3[nH]c(O)nc3C)cc2)cn1,ChEMBL37_chemreps,282.303,21,2.149,2,5,83.8
CHEMBL27417,CCc1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,ChEMBL37_chemreps,304.773,21,4.63,1,2,46.53
CHEMBL27420,Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1[N+](=O)[O-],ChEMBL37_chemreps,376.394,26,2.911,1,7,118.58
CHEMBL25509,CC(C)C1NC(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2,ChEMBL37_chemreps,341.455,25,3.309,2,3,57.36
CHEMBL25593,CC(C)NC(=O)N(C(=O)[C@H]1CCC2C3CCC4N(C)C(=O)C=C[C@]4(C)C3CC[C@@]21C)C(C)C,ChEMBL37_chemreps,457.659,33,4.597,1,3,69.72
CHEMBL26585,CC1(C)C[C@H]2[C@@H]3OC(C)(C)O[C@@H]3CC[C@@]2(COS(N)(=O)=O)C1,ChEMBL37_chemreps,333.45,22,1.943,1,5,87.85
CHEMBL26586,Nc1ccc(S(=O)(=O)Nc2noc3c2CCCC3)cc1,ChEMBL37_chemreps,293.348,20,1.936,2,5,98.22
CHEMBL26589,COc1cccc(-c2c3cc(N)ccc3c3ccc(N)cc3[n+]2C)c1,ChEMBL37_chemreps,330.411,25,3.658,2,3,65.15
CHEMBL26688,COc1cccc2c1CC(N)CC2,ChEMBL37_chemreps,177.247,13,1.511,1,2,35.25
CHEMBL26690,O=c1cc(-c2ccccc2[N+](=O)[O-])oc2ccc([N+](=O)[O-])cc12,ChEMBL37_chemreps,312.237,23,3.276,0,6,116.49
CHEMBL26691,COc1cc2c(cc1OC)C(C)=[N+]([O-])C(c1ccccc1)N2,ChEMBL37_chemreps,298.342,22,3.147,1,4,56.56
CHEMBL26784,O=C(O)c1ccc2c(c1)CCCC2CCn1ccnc1,ChEMBL37_chemreps,270.332,20,3.092,1,3,55.12
CHEMBL26789,CCCCN1CCN(c2ccccc2OC)CC1,ChEMBL37_chemreps,248.37,18,2.617,0,3,15.71
CHEMBL26791,Oc1c(CN2CCCC2)cc(Nc2ncnc3ccccc23)cc1CN1CCCC1,ChEMBL37_chemreps,403.53,30,4.271,2,6,64.52
CHEMBL26793,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NN(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,ChEMBL37_chemreps,400.391,29,1.804,2,6,130.88
CHEMBL26883,CC(=O)/C=C/C(=O)N[C@@H]1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,ChEMBL37_chemreps,438.524,32,1.586,3,6,99.1
CHEMBL3310200,O=C(O)/C(Cc1ccc([N+](=O)[O-])cc1)=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,ChEMBL37_chemreps,451.291,29,5.12,2,7,117.72
